anime_id,related_anime_id,relation_type
1587,3248,Sequel
32621,17489,Other
32621,32622,Other
10588,3366,Alternative setting
10588,14407,Alternative setting
10588,36023,Alternative setting
10588,13587,Sequel
10588,14267,Summary
10588,24075,Alternative version
10588,25257,Other
10588,25259,Other
6922,356,Alternative version
6922,22297,Alternative version
6922,25537,Alternative version
6922,11741,Prequel
35781,36109,Sequel
33600,33601,Sequel
4851,1412,Parent story
35759,24893,Prequel
13965,12321,Other
6702,246,Character
6702,9982,Side story
6702,12049,Side story
6702,17535,Side story
6702,12121,Other
6702,30778,Other
6702,18393,Spin-off
6702,22043,Sequel
34975,21013,Alternative setting
34975,25457,Alternative setting
34975,37151,Sequel
24641,36225,Sequel
5199,2104,Parent story
33274,33276,Prequel
33274,33696,Other
21267,28077,Sequel
36289,32031,Other
36289,33899,Parent story
221,222,Sequel
221,320,Character
1483,1910,Sequel
2343,2342,Prequel
2343,2344,Sequel
35314,33475,Prequel
34476,611,Parent story
7082,5262,Prequel
35952,2252,Full story
10521,6956,Prequel
10521,10532,Other
10521,25879,Sequel
3335,33378,Other
3335,35228,Alternative version
8879,8897,Sequel
22493,3720,Alternative version
22493,9045,Alternative version
2710,1199,Parent story
594,20,Parent story
23229,207,Alternative version
2520,223,Parent story
4130,30,Spin-off
1479,1478,Sequel
1479,30818,Sequel
27727,31417,Sequel
33094,6956,Alternative setting
33094,10532,Other
33808,24855,Other
23765,23767,Sequel
8373,2571,Prequel
209,208,Prequel
33358,2038,Full story
19669,11771,Parent story
30721,25943,Other
28369,2222,Parent story
10823,210,Other
2689,2688,Parent story
16163,1960,Parent story
24073,24071,Other
24073,27519,Sequel
27849,24803,Alternative version
27849,34183,Alternative version
7953,80,Character
7953,6215,Prequel
31699,3008,Other
31699,18365,Other
31699,31517,Other
7593,5042,Parent story
8897,8879,Prequel
8897,8899,Sequel
30450,223,Character
30450,3312,Parent story
35139,32842,Other
35139,34244,Other
35139,37028,Alternative version
1388,1387,Prequel
1388,1389,Sequel
1388,2868,Other
22,814,Side story
22,815,Side story
22,1190,Side story
22,5996,Side story
22,10731,Side story
22,10862,Side story
22,29697,Side story
22,995,Sequel
22,6749,Other
22,10276,Other
22,36952,Alternative version
32219,25943,Other
32219,25991,Other
1016,17659,Other
35505,35504,Other
6822,8345,Prequel
6822,34078,Sequel
11583,10805,Other
34430,235,Parent story
