anime_id,title,title_english,title_japanese,title_synonyms,image_url,type,source,episodes,status,duration,rating,score,scored_by,rank,popularity,members,favorites,premiered,licensor,studio,aired_from,aired_to
22847,Kara no Kyoukai: Mirai Fukuin - Manner Movie,the Garden of sinners -recalled out summer- Pre-show Reminder,劇場版 空の境界 未来福音 劇場用マナーCM,,https://cdn.myanimelist.net/images/anime/8/59323.jpg,Movie,,1,Finished Airing,1 min.,G - All Ages,6.14,2131,6962.0,4665,5618,4,Summer 2013,Aniplex of America,ufotable,2013-09-28,2013-09-28
33874,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Maguro no Notta Keikan,,こちら葛飾区亀有公園前派出所  マグロに乗った警官,"The Tuna Cop, Kochikame: Maguro no Notta Keikan",https://cdn.myanimelist.net/images/anime/8/81543.jpg,Special,Manga,1,Finished Airing,22 min.,PG-13 - Teens 13 or older,7.11,36,10926.0,11013,222,0,Winter 2004,,,2004-01-02,2004-01-02
507,Gravitation: Lyrics of Love,,グラビテーション,,https://cdn.myanimelist.net/images/anime/3/12667.jpg,OVA,Manga,2,Finished Airing,26 min. per ep.,R - 17+ (violence & profanity),7.08,14478,3263.0,2397,24308,102,Summer 1999,Nozomi Entertainment,Plum,1999-07-23,1999-09-22
1552,Hiatari Ryoukou! Yume no Naka ni Kimi ga Ita,Sunny Ryoko! You Were There in a Dream,陽あたり良好！ KA・SU・MI 夢の中に君がいた,Hiatari Ryoko! Yume no Naka ni Kimi ga Ita (Movie),https://cdn.myanimelist.net/images/anime/7/74265.jpg,Movie,,1,Finished Airing,1 hr. 7 min.,PG-13 - Teens 13 or older,6.06,148,7204.0,9452,517,0,Fall 1988,,,1988-10-01,1988-10-01
5401,Mahou Shoujo Sae,,魔法少女沙枝,,https://cdn.myanimelist.net/images/anime/8/11033.jpg,OVA,Light novel,2,Finished Airing,30 min. per ep.,Rx - Hentai,5.59,440,,7751,1292,0,Spring 2006,,,2006-04-28,2006-12-22
30445,"Wake Up, Girls! Deai no Kiroku: A Brief Recording",,"Wake Up, Girls! 出逢いの記録 ～A Brief Recording～",,https://cdn.myanimelist.net/images/anime/13/72844.jpg,OVA,Original,1,Finished Airing,6 min.,PG-13 - Teens 13 or older,6.33,383,6289.0,7636,1378,2,Fall 2013,,Ordet,2013-12-29,2013-12-29
2198,Aa! Megami-sama!: Sorezore no Tsubasa Specials,Ah! My Goddess: Flights of Fancy Specials,ああっ女神さまっ　それぞれの翼,Ah! My Goddess: Sorezore no Tsubasa Specials,https://cdn.myanimelist.net/images/anime/2/13530.jpg,Special,Manga,2,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,7.61,9837,1316.0,2723,19253,32,Winter 2007,"ADV Films, Funimation, NYAV Post",,2007-02-23,2007-02-23
29727,Paradise,,パラダイス,,https://cdn.myanimelist.net/images/anime/5/71482.jpg,Movie,,1,Finished Airing,20 min.,G - All Ages,7.31,13,11721.0,11005,223,0,,,,,
13959,Milky Gal: Cats Ai,,ミルキィギャル キャッツ愛,,https://cdn.myanimelist.net/images/anime/3/38711.jpg,OVA,,1,Finished Airing,30 min.,Rx - Hentai,4.9,63,,10607,276,0,Spring 1985,,,1985-06-21,1985-06-21
2312,Daishizen no Majuu: Bagi,Baggy,大自然の魔獣 バギ,"Daishizen no Majyu Bagi, Daishizen no Majuu Bagi, Taishizen no Makemono Bagi, Bagi, the Monster of Mighty Nature",https://cdn.myanimelist.net/images/anime/9/56739.jpg,Movie,,1,Finished Airing,1 hr. 30 min.,PG - Children,6.47,863,5714.0,6973,1904,12,Summer 1984,,,1984-08-19,1984-08-19
