producer_id,producer_name
1,Cookie Jar Entertainment
2,I'm Enterprise
3,Toppan Printing
4,Sanyo Bussan
5,Crunchyroll SC Anime Fund
6,Techno Sound
7,Studio Izena
8,Jam
9,Assez Finaud Fabric
10,Wako Productions
11,Pazzy Entertainment
12,Cosmic Ray
13,Ajia-Do
14,Agent 21
15,Diabolik Lovers MB Project
16,Visual 80
17,Studio Tron
18,Usagi Ou
19,Dream Force
20,Tokai Television
21,SBS TV Production
22,Amber Film Works
23,Seta Corporation
24,C &amp; I entertainment
25,Digital Media Lab
26,Just Pro
27,Union Cho
28,RoiVisual
29,Emon
30,Image Kei
31,Shogakukan Productions
32,LIDENFILMS
33,KlockWorx
34,Group TAC
35,Fuji Pacific Music Publishing
36,King Records
37,Studio Kelmadick
38,TUBA
39,Imagin
40,Enterbrain
41,Meruhensha
42,Sumitomo
43,Jinnis Animation Studios
44,Studio Anima
45,Avaco Creative Studios
46,Chugai Mining Co.
47,Hisashishi Videos
48,Kokusai Eigasha
49,Toho
50,Lune Pictures
51,NIANTIC
52,Azeta Pictures
53,Sola Digital Arts
54,DMM.futureworks
55,Nichion
56,KENMedia
57,Koei Tecmo Games
58,Mippei Eigeki Kiryuukan
59,Highlights Entertainment
60,RTHK
61,Azumaker
62,Tokyo Movie Shinsha
63,Postgal Workshop
64,Ashi Production
65,AKABEiSOFT2
66,Bulls Eye
67,CIC
68,Kyotoma
69,Delfi Sound
70,Lastrum Music
71,D.A.S.T.
72,L.
73,SKY Perfect Well Think
74,Daiichikosho
75,Frencel
76,DMM.com
77,Victor Entertainment
78,Tonko House
79,Hiroshi Planning
80,Infinite
81,MS Pictures
82,Mag Garden
83,Coolism Productions
84,Animation 21
85,Zack Promotion
86,Cyclone Graphics inc
87,AG-ONE
88,Tokyu Recreation
89,bilibili
90,Digiturbo
91,JM Animation
92,Movic
93,Tsuburaya Productions
94,tsuritama partners
95,NAZ
96,Parco
97,Sunwoo Entertainment
98,Atelier Musa
99,Polygon Pictures
100,Universal Music Japan
101,Studio Dadashow
102,Tavac
103,Success Co.
104,Vega Entertainment
105,Three Fat Samurai
106,Imagica
107,Trans Arts
108,EMI
109,Japan Home Video
110,Oh! Production
111,Sony Music Communications
112,Soft on Demand
113,Happy Elements
114,LTD.
115,Media Blasters
116,Phoenix Entertainment
117,Echoes
118,Links
119,ensky
120,Universal Pictures Japan
121,Aubec
122,Shinwon Productions
123,TCJ
124,Project IS
125,Studio MWP
126,Fuji Video
127,Studio Cab
128,Nippon Television Network
129,Bee Train
130,Schoolzone
131,Tokyo MX
132,Khara
133,Kujou-kun no Bonnou wo Mimamoru-kai
134,Yoshimoto Creative Agency
135,KAGAYA Studio
136,1st PLACE
137,Studio Junio
138,Carp Studio
139,Wonder Kids
140,T.O Entertainment
141,Project No.9
142,Beijing Sunchime Happy Culture Company
143,Soft Garage
144,Marza Animation Planet
145,Daiei
146,Viki
147,I was a Ballerina
148,Heroz
149,Sanyo
150,Shinyusha
151,Donuts
152,Ankama
153,Kyoraku Industrial Holdings
154,Epoch
155,NHK-BS2
156,Silky’s
157,Sony Pictures Entertainment
158,Takahashi Studio
159,Digital Frontier
160,Project Team Eikyuu Kikan
161,Studio Flag
162,Kawamoto Productions
163,famima.com
164,Shinano Kikaku
165,Nihon Hoso Eigasha
166,TV Asahi
167,Dynamo Pictures
168,Studio Mir
169,Toy's Factory
170,Akita Shoten
171,G.CMay Animation &amp; Film
172,Studio Kuma
173,Hulu
174,INCS toenter
175,Studio Core
176,Think Corporation
177,N&amp;G Production
178,Koei
179,Five Ways
180,KLab
181,Studio CHANT
182,Marui Group
183,Sakura Color Film
184,Quick Corporation
185,Daichi Doga
186,Studio Tulip
187,Byakuya Shobo
188,Calf Studio
189,Soyuzmultfilm
190,Memory-Tech
191,Casio Entertainment
192,Itasca Studio
193,L²Studio
194,TV Aichi
195,Film Workshop
196,Peter Pan Creation
197,Orchid Seed
198,Future Planet
199,Banpresto
200,Studio Binzo
201,Myung Films
202,Fanworks
203,Studio GOONEYS
204,Critical Mass Video
205,Gendai Production
206,Beijing Rocen Digital
207,Heewon Entertainment
208,Benesse Corporation
209,AYCO
210,Tokyo University of the Arts
211,Nikkatsu
212,Dongyang Animation
213,Kids Station
214,China Animation Characters
215,Planet
216,Being
217,Fields
218,Universal Radio Studio
219,Radix
220,Square Enix
221,Hakusensha
222,Oz
223,Studio Matrix
224,DeNA
225,THINKR
226,AniMan
227,Tezuka Productions
228,Wit Studio
229,Knack Productions
230,Milky Cartoon
231,Maikaze
232,BEAM Entertainment
233,Sogo Vision
234,Meiji Seika
235,teamKG
236,Top Marshal
237,Senran Kagura Partners
238,Gold Bear
239,Takeshobo
240,APPP
241,Kyodo Eiga
242,Studio A-CAT
243,Iyasakadou Film
244,RCC Chugoku Broadcasting
245,Katsudou-manga-kan
246,Voyager Entertainment
247,Wawayu Animation
248,Fuji&amp;gumi Games
249,Kotobukiya
250,HeART-BIT
251,FUJIYAMA PROJECT JAPAN
252,Tencent Penguin Pictures
253,Tosho Printing
254,JTB Entertainment
255,Natsuiro Kiseki Production Partners
256,The Answer Studio
257,Glovision
258,PoRO
259,A-Craft
260,Filmlink International
261,Nippon Ichi Software
262,Bandai Namco Rights Marketing
263,Dynamic Planning
264,Mad Box
265,Studio Ponoc
266,Bishop
267,Hipland Music Corporation
268,Haoliners Animation League
269,DJI
270,Zexcs
271,Chrono Gear Creative
272,On The Run
273,Frontier Works
274,Dwango
275,Medicos Entertainment
276,Quaras
277,Jade Animation
278,Natural High
279,Panda Factory
280,Marubeni
281,Datam Polystar
282,Plum
283,Anime Consortium Japan
284,StudioRF Inc.
285,Studio Hibari
286,C2C
287,Cospa
288,ACC Production
289,Trinity Sound
290,Overlap
291,Rambling Records
292,ZOOM ENTERPRISE
293,Kimi To Boku Production Partners
294,DR Movie
295,Imagica West
296,Tencent Japan
297,Plus Heads
298,D.N.dreampartners
299,CyberConnect2
300,Venus Vangard
301,m.o.e.
302,Walt Disney Studios
303,YTV
304,RAMS
305,DIVE II Entertainment
306,Rondo Robe
307,Studio Eromatick
308,Forecast Communications
309,Yomiko Advertising
310,KEN ON
311,Jay Zone Comic
312,Sakura Production
313,Network
314,Kakao Japan
315,Level-5
316,Tokuma Shoten
317,Studio Live
318,NTT Plala
319,Studio Signal
320,Slowcurve
321,Starchild Records
322,TOHO animation
323,Sovat Theater
324,HoriPro
325,Diomedea
326,Yili Animation Studio
327,Saban Brands
328,P-Vine Records
329,Hasbro
330,Toshiba Digital Frontiers
331,CherryLips
332,Tokyo Animation Film
333,Chippai
334,Nitroplus
335,Egg Firm
336,Actas
337,BOOTLEG
338,Panasonic Digital Contents
339,Daume
340,Studio LAN
341,BeSTACK
342,Hokkaido Azmacy
343,Volks
344,NHK
345,comico
346,e-notion
347,Pastel
348,RAB Aomori Broadcasting
349,Hobi Animation
350,Amgakuin
351,Penta Show Studios
352,Tose
353,Viz Media
354,XFLAG Pictures
355,The Berich
356,12 Diary Holders
357,Kinoshita Koumuten
358,K-Factory
359,d-rights
360,Cocoro Free
361,North Stars Pictures
362,Studio Curtain
363,Creek &amp; River
364,Allure
365,Sapporo Television Broadcasting
366,Misseri Studio
367,Bandai Visual
368,Rabbit Gate
369,AT-X
370,Life Work
371,Baramiri
372,P Productions
373,Zero-G Room
374,Studio GDW
375,TAP
376,Kojiro Shishido Animation Works
377,TMS Entertainment
378,Moonstone Cherry
379,Fujimi Shobo
380,SynergySP
381,Hakoniwa Academy Student Council
382,Production I.G
383,BreakBottle
384,Kadokawa Media (Taiwan)
385,Ripromo
386,Ginga Ya
387,Kodansha
388,Grouper Productions
389,OLE-M
390,Studio Gram
391,AIR AGENCY
392,Picante Circus
393,Nagoya TV Housou
394,Alchemist
395,Melonbooks
396,Collaboration Works
397,WField
398,Maru Production
399,Kino Production
400,CyberStep
401,Picture Magic
402,Chukyo TV Broadcasting
403,Shanghai Jump Network Technology
404,Mirai Film
405,Bandai Namco Pictures
406,Nippon Television Music
407,Comic Umenohone
408,Fuji TV
409,Animate Film
410,BS Fuji
411,Kyoto Animation
412,Shinshokan
413,BeeWorks
414,Strawberry Meets Pictures
415,Seven
416,Nomad
417,Toei Animation
418,Media Bank
419,Obtain Future
420,A-Line
421,Kansai Telecasting
422,Nexon
423,Decovocal
424,Horannabi
425,Sunny Side Up
426,BIGFACE
427,J.C.Staff
428,AKOM
429,Kamio Japan
430,M.S.C
431,Mitsubishi
432,DiC Entertainment
433,Kyowa Film
434,Shinkuukan
435,Pashmina
436,Yomiuri Telecasting
437,Mirai Records
438,Nihon Ad Systems
439,Discovery
440,GAGA
441,Animatsu Entertainment
442,DOGA Productions
443,SIDO LIMITED
444,Shin-Ei Animation
445,Anpro
446,Seven Stone Entertainment
447,Space Shower Music
448,Enoki Films
449,Bandai Namco Games
450,TV Setouchi
451,CyberAgent
452,Studio Fantasia
453,Adult Source Media
454,SELFISH
455,Studio Zealot
456,Indeprox
457,Kadokawa Shoten
458,Ai Addiction
459,XFLAG
460,Hero Communication
461,Suzuki Mirano
462,Hokkaido Cultural Broadcasting
463,Tokyo FM Broadcasting CO.
464,Visual Art's
465,Animaruya
466,COLOPL
467,Colored-Pencil Animation Design
468,Lemon Heart
469,Epicross
470,Front Line
471,Asmik Ace Entertainment
472,Shanghai Animation Film Studio
473,Yuhodo
474,Oddjob
475,Tokuma Japan Communications
476,PansonWorks
477,Medicrie
478,dwarf
479,Pioneer LDC
480,Academy Productions
481,Himeyuri Alumnae Incorporated Foundation
482,AQUAPLUS
483,G&amp;G Entertainment
484,A-1 Pictures
485,Flex Comix
486,SPO Entertainment
487,Pink Pineapple
488,Sav! The World Productions
489,Green Bunny
490,Media Castle
491,Blue Eyes
492,Inu x Boku SS Production Partners
493,Tatsunoko Production
494,Iwatobi High School Swimming Club
495,Lawson HMV Entertainment
496,Nihon Falcom
497,Cinema Tohoku
498,PPP
499,Tin House
500,Chukong Technologies
501,UM Productions
502,Studio Wombat
503,Studio Unicorn
504,Sound Team Don Juan
505,Eye Move
506,Chungeorahm Film
507,Aniplex of America
508,Shinchosha
509,Avex Entertainment
510,Sony PCL
511,Studio Rikka
512,iQIYI
513,Solid Vox
514,FOREST Hunting One
515,Studio Blanc
516,Media Rings
517,Raku High Student Council
518,Shanghai Motion Magic
519,ElectromagneticWave
520,BS-TBS
521,Angelfish
522,Magic Lantern Film
523,Genco
524,Studio Jack
525,Asahi Production
526,Studio AWAKE
527,Kinyosha
528,NOTTV
529,ZERO-A
530,Trans Cosmos
531,GEN Productions
532,Studio Ghibli
533,Creative Power Entertaining
534,Sotsu
535,Studio Nue
536,Tama Production
537,Cromea
538,Trigger
539,Tomoyasu Murata Company
540,Steve N' Steven
541,Abema TV
542,Grooove
543,Tencent Animation
544,Opera House
545,Milestone Music Publishing
546,Beyond C.
547,ANIK
548,Avex Pictures
549,RAY
550,Light Chaser Animation Studios
551,chara-ani.com
552,Hoods Entertainment
553,Dai Nippon Printing
554,Shochiku
555,Directions
556,Polygram Japan
557,Nelvana
558,TYO
559,SME Visual Works
560,GODxDOG Production
561,Plus One
562,Arcturus
563,Aikikaku Center
564,Fuji Creative
565,On-Lead
566,Lucky Paradise
567,PrimeTime
568,BS-i
569,Olive Studio
570,Romantica club !!
571,Project No Name
572,Purple Cow Studio Japan
573,Milkshake
574,Xebec
575,NHN PlayArt
576,Audio Highs
577,Code
578,Anime Antenna Iinkai
579,NHK Enterprises
580,Tohan Corporation
581,W-Toon Studio
582,Studio Gallop
583,Docomo Anime Store
584,Gzbrain
585,SOEISHINSHA
586,TMS-Kyokuchi
587,Fujiko F. Fujio Pro
588,Ltd.
589,Gentosha Comics
590,NTT Docomo
591,LandQ studios
592,PoPoCo
593,Jidaigeki Channel
594,Miracle Robo
595,Sugar Boy
596,Happinet Pictures
597,Warner Bros.
598,Armor
599,Nichiei Agency
600,indigo line
601,Kitty Films
602,Ministry of the Navy
603,Furyu
604,Shueisha
605,Seikaisha
606,Studio PuYUKAI
607,AMG MUSIC
608,Tasogare Otome×Amnesia Production Partners
609,Yamasa
610,Geijutsu Eigasha
611,TAKI Corporation
612,KOO-KI
613,Poncotan
614,NichiNare
615,Skouras
616,Animation Do
617,LTD
618,Teichiku Entertainment
619,My Theater D.D.
620,Coastline Animation Studio
621,CREi
622,D3
623,Pony Canyon Enterprise
624,Cotton Doll
625,Sakura Create
626,Lambert
627,Audio Tanaka
628,Annapuru
629,Studio 9 MAiami
630,Youmex
631,Langmaor
632,Nikkatsu Mukojima
633,Sunrise
634,Yomiuri TV Enterprise
635,Shizuoka Broadcasting System
636,Active
637,Sun TV
638,Lantis
639,Miraicha Records
640,Topcraft
641,Trick Block
642,Earth Star Entertainment
643,Kadokawa
644,Animax
645,Public &amp; Basic
646,Advance Syakujii
647,DAX Production
648,Hakuhodo DY Media Partners
649,KMMJ Studios
650,Liverpool
651,Fujio Production
652,eigoMANGA
653,Barnum Studio
654,Otogi Production
655,Office AO
656,Shirogumi
657,SUBARU
658,Hakuhodo DY Music &amp; Pictures
659,Media Factory
660,CBC
661,EBS
662,Studio Take Off
663,Kadokawa Media House
664,Inc.
665,Sentai Filmworks
666,Brave Hearts
667,Neft Film
668,Pierrot Plus
669,ACiD FiLM
670,Tamura Shigeru Studio
671,Walt Disney Japan
672,Sanrio Digital
673,CloverWorks
674,Studio NOIX
675,Darts
676,Ryukyu Asahi Broadcasting
677,Contents Seed
678,Hal Film Maker
679,E&amp;G Films
680,China Literature Limited
681,Dentsu Eigasha Tokyo
682,Madhouse
683,Kiyosumi High School Mahjong Club
684,T.P.O
685,Top-Insight International Co.
686,Production Reed
687,AnimEigo
688,SamBakZa
689,Miracle Bus
690,Bandai Channel
691,Tsubasa Entertainment
692,TV Osaka
693,TV Tokyo Music
694,TV Saitama
695,Shogakukan Music &amp; Digital Entertainment
696,EXA International
697,Big Bang
698,Nippon Cultural Broadcasting
699,Gigno Systems
700,Lucent Pictures Entertainment
701,Sega
702,Marvelous AQL
703,Rankin/Bass
704,501st JOINT FIGHTER WING
705,5pb.
706,White Bear
707,Atlus
708,Boyan Pictures
709,MAGES.
710,Studio Nem
711,Studio Ten Carat
712,Queen Bee
713,AC Create
714,Studio Kaab
715,U-NEXT
716,Chuubu Nihon Kyouei
717,Palm Studio
718,TYO Animations
719,Sakura Motion Picture
720,U/M/A/A Inc.
721,Procidis
722,Dentsu Razorfish
723,Takara Tomy A.R.T.S
724,Drecom
725,OB Planning
726,Baku Enterprise
727,Mainichi Broadcasting System
728,Shogakukan
729,AIC Frontier
730,Kadokawa Games
731,SEDIC International
732,CoMix Wave Films
733,OLM
734,Daiichi Shokai CO.
735,Studio Liberty
736,Yumearu
737,T-Rex
738,Four Some
739,Sanctuary
740,SEK Studios
741,Shanghai Foch Film Culture Investment
742,KJJ Animation
743,Knack Animation
744,Design Factory
745,Hiroshima Television
746,MK Pictures
747,Kuri Jikken Manga Kobo
748,Futabasha
749,Jormungand Production Partners
750,Bandai
751,Vasoon Animation
752,Asahi Shimbun
753,Pie in The Sky
754,Magic Capsule
755,Greenwood
756,Project Railgun
757,Warner Music Japan
758,Yoon's Color
759,Ima Group
760,Spacey Music Entertainment
761,ASIA Documentary Productions
762,Straight Edge
763,Puzzle Animation Studio Limited
764,Ki/oon Music
765,Ai ga areba Daijobu
766,Kadokawa Contents Gate
767,Minami Machi Bugyousho
768,eBooK Initiative Japan CO.
769,BIGLOBE
770,Nakamura Production
771,Studio Saki Makura
772,Quatre Stella
773,Live Viewing Japan
774,CBS
775,Dongwoo A&amp;E
776,Fujishouji
777,Pencil
778,Right Gauge
779,Yahoo! Japan
780,Artland
781,The Village of Marchen
782,Mary Jane
783,Rakuten
784,Geneon Universal Entertainment
785,Magic Bus
786,DMM pictures
787,Fairy Dust
788,Himajin Planning
789,Triangle Staff
790,GYAO!
791,Dream Creation
792,Osaka University of Arts
793,Zyc
794,Valkyria
795,Trilogy Future Studio
796,Studio Deva Loka
797,Studio OX
798,Kanon Sound
799,Shingeki no Kyojin Team
800,Takara
801,Marvelous
802,NADA Holdings
803,Universal Studios
804,Ishimori Pro
805,Amino
806,Japan Sleeve
807,Graphinica
808,Hobby Japan
809,D-techno
810,Aoni Entertainment
811,Miyagi Television Broadcasting
812,Y.O.U.C
813,Nihikime no Dozeu
814,Moonbell
815,Studio Pastoral
816,EDGE
817,Sony Music Entertainment
818,Bandai Namco Entertainment
819,Suiseisha
820,Studio Kikan
821,Konami Digital Entertainment
822,Studio Egg
823,Hiro Media
824,Keisei Electric Railway
825,Hobibox
826,Next
827,Coamix
828,Creative Bridge
829,Rironsha
830,Remic
831,Lapis
832,Studio Sign
833,Shodensha
834,Bushiroad Music
835,Mellow Head
836,Enlight Pictures
837,Studio Deen
838,Studio Comet
839,Pony Canyon
840,Anime R
841,Telecom Animation Film
842,SoftX
843,Project Eureka AO
844,Studio elle
845,GANSIS
846,DLE
847,Akabanten
848,Tate Anime
849,Evil Line Records
850,TBS
851,White Fox
852,Hotline
853,Nintendo of America
854,Big West
855,Mushi Production
856,F.M.F
857,Stardust Promotion
858,CCTV Animation Co. LTD
859,NBCUniversal Entertainment Japan
860,Nippon Shuppan Hanbai (Nippan) K.K.
861,project lights
862,Imagi
863,Twin Engine
864,GARDEN LODGE
865,4Kids Entertainment
866,Fukuoka Broadcasting System
867,RX-RECORDS
868,Muse Communication Co.
869,Dear Stage inc.
870,Audio Planning U
871,Möbius Tone
872,Beijing Sharaku Art
873,Cygames
874,I.Toon
875,Sotsu Music Publishing
876,AIC Spirits
877,UNLIMITED Partners
878,PSG
879,AIC
880,BS11
881,WAO World
882,Yomiuri Advertising
883,Tohokushinsha Film Corporation
884,Media Do
885,Shelty
886,Aniplex
887,Tele-Cartoon Japan
888,Primastea
889,Studio Lotus
890,Yamamura Animation
891,Bitgang
892,Kobunsha
893,BS Japan
894,Yellow Film
895,Exit Tunes
896,Sol Blade
897,Kanetsu Co.
898,RightTracks
899,UK.PROJECT INC.
900,Studio Compile
901,TOMY Company
902,Chiba TV
903,Harappa
904,MMDGP
905,Music Ray'n
906,Kamikaze Douga
907,Kitty Media
908,Adores
909,DandeLion Animation Studio LLC
910,VAP
911,TC Entertainment
912,NewGin
913,Toshiba Entertainment
914,Sammy
915,Gree
916,PRA
917,Bliss Pictures
918,USEN
919,I-move
920,I Will
921,Saban Entertainment
922,Maxell E-Cube
923,Capcom
924,A-Sketch
925,King Bee
926,Broccoli
927,LINE Corporation
928,Bandai Namco Live Creative
929,ONEMUSIC
930,Rakuonsha
931,Shufunotomo
932,Glams
933,KDDI
934,Digital Works
935,Jumondo
936,Beat Frog
937,Studio Colorido
938,East Japan Marketing &amp; Communications
939,Lawson
940,Grasshoppa!
941,Shounen Gahousha
942,Studio Mausu
943,Production Ace
944,Hot Bear
945,KSS
946,Studio G-1Neo
947,Studio Mirai
948,flying DOG
949,Shaft
950,Sunrise Music Publishing
951,NuTech Digital
