genre_id,genre_name
1,Thriller
2,Game
3,Magic
4,Kids
5,Music
6,Super Power
7,Samurai
8,Shoujo Ai
9,Historical
10,Yuri
11,Vampire
12,Yaoi
13,Romance
14,Sports
15,Fantasy
16,Ecchi
17,Hentai
18,Shounen Ai
19,Harem
20,Demons
21,Space
22,Seinen
23,Military
24,Cars
25,Psychological
26,School
27,Slice of Life
28,Shoujo
29,Parody
30,Adventure
31,Drama
32,Mecha
33,Sci-Fi
34,Josei
35,Comedy
36,Shounen
37,Supernatural
38,Martial Arts
39,Action
40,Dementia
41,Horror
42,Mystery
43,Police
